air_temp,brake_mean,compound,driver,drs_activations,fresh_tyre,gp_name,humidity,is_pit_lap,lap_number,lap_time,position,pressure,race_id,rpm_max,rpm_mean,season,sector_1_time,sector_2_time,sector_3_time,session_name,session_type,speed_max,speed_mean,stint,team,throttle_mean,track_status,track_temp,tyre_life,wind_dir,wind_speed
26.1,0.1975903614457831,MEDIUM,PER,0,,,,,19.0,98.369,,,2019_BHR,,10268.002409638557,2019,30.87,43.271,24.228,,,,196.39036144578316,2.0,Racing Point,65.05060240963856,,28.8,11.0,85.0,2.2
26.2,0.2096385542168674,MEDIUM,PER,0,,,,,20.0,98.499,,,2019_BHR,,10330.607228915662,2019,30.908,43.382,24.209,,,,196.36385542168676,2.0,Racing Point,64.8698795180723,,29.0,12.0,345.0,2.5
26.3,0.1956521739130435,MEDIUM,PER,0,,,,,21.0,98.247,,,2019_BHR,,10331.978260869566,2019,31.054,43.025,24.168,,,,196.57971014492756,2.0,Racing Point,64.65217391304348,,28.8,13.0,30.0,2.2
26.3,0.2304038004750593,MEDIUM,PER,32,,,,,22.0,99.909,,,2019_BHR,,10282.484560570072,2019,31.144,44.443,24.322,,,,193.20190023752969,2.0,Racing Point,62.60095011876484,,28.8,14.0,50.0,2.2
26.4,0.2038369304556355,MEDIUM,PER,0,,,,,23.0,99.261,,,2019_BHR,,10331.884892086331,2019,31.408,43.714,24.139,,,,194.81534772182252,2.0,Racing Point,63.51798561151079,,28.9,15.0,59.0,2.1
26.5,0.2038369304556355,MEDIUM,PER,0,,,,,24.0,98.662,,,2019_BHR,,10205.496402877698,2019,31.153,43.306,24.203,,,,195.9832134292566,2.0,Racing Point,64.14868105515588,,28.9,16.0,12.0,1.9
26.5,0.215311004784689,MEDIUM,PER,0,,,,,25.0,99.225,,,2019_BHR,,10238.38995215311,2019,31.308,43.537,24.38,,,,194.4377990430622,2.0,Racing Point,63.380382775119614,,28.9,17.0,37.0,2.2
26.5,0.2091346153846154,MEDIUM,PER,0,,,,,26.0,98.927,,,2019_BHR,,10120.09375,2019,31.069,43.539,24.319,,,,195.4879807692308,2.0,Racing Point,63.44230769230769,,28.8,18.0,39.0,2.1
26.5,0.2124105011933174,MEDIUM,PER,0,,,,,27.0,99.39,,,2019_BHR,,10258.238663484486,2019,31.3,43.693,24.397,,,,194.49164677804296,2.0,Racing Point,63.67541766109785,,28.8,19.0,30.0,2.4
26.5,0.2100238663484487,MEDIUM,PER,0,,,,,28.0,99.629,,,2019_BHR,,9985.71121718377,2019,31.212,44.051,24.366,,,,194.14319809069207,2.0,Racing Point,62.86634844868736,,28.8,20.0,40.0,3.2
26.6,0.2147971360381861,MEDIUM,PER,0,,,,,29.0,99.177,,,2019_BHR,,10204.00477326969,2019,31.169,43.591,24.417,,,,195.06443914081143,2.0,Racing Point,62.56085918854415,,28.8,21.0,27.0,3.0
26.6,0.2014388489208633,MEDIUM,PER,0,,,,,30.0,99.347,,,2019_BHR,,10243.717026378898,2019,31.163,43.834,24.35,,,,195.22302158273385,2.0,Racing Point,63.67146282973621,,28.6,22.0,41.0,2.5
26.6,0.2124105011933174,MEDIUM,PER,0,,,,,31.0,99.292,,,2019_BHR,,10109.599045346062,2019,31.065,43.916,24.311,,,,194.7470167064439,2.0,Racing Point,63.37708830548926,,28.6,23.0,50.0,2.5
26.6,0.2095238095238095,MEDIUM,PER,0,,,,,32.0,99.799,,,2019_BHR,,9954.180952380952,2019,31.105,43.979,24.715,,,,193.5095238095238,2.0,Racing Point,62.76428571428571,,28.5,24.0,36.0,3.1
26.6,0.2522935779816513,MEDIUM,PER,38,,,,,33.0,103.857,,,2019_BHR,,9867.252293577982,2019,31.864,44.401,27.592,,,,185.88073394495413,2.0,Racing Point,59.325688073394495,,28.4,25.0,38.0,2.6
26.6,0.244047619047619,MEDIUM,PER,0,,,,,34.0,120.338,,,2019_BHR,,9618.599206349209,2019,53.938,42.641,23.759,,,,161.74603174603175,3.0,Racing Point,61.24206349206349,,28.4,1.0,54.0,2.6
26.5,0.2029339853300733,MEDIUM,PER,0,,,,,35.0,96.856,,,2019_BHR,,10166.026894865525,2019,30.854,42.326,23.676,,,,199.94621026894865,3.0,Racing Point,65.41809290953545,,28.3,2.0,50.0,2.3
26.5,0.2118226600985221,MEDIUM,PER,0,,,,,36.0,96.722,,,2019_BHR,,10148.172413793103,2019,30.615,42.376,23.731,,,,199.92364532019704,3.0,Racing Point,65.58374384236453,,28.3,3.0,65.0,2.0
